CPF/CNPJ,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_UE,NM_UE,SG_PARTIDO,DS_CARGO,DS_OCUPACAO,SUM de Valor do Auto,COUNTA de Valor do Auto
x,MARCIUS BELTRAO SIQUEIRA,MARCIUS BELTRÃO,AL,ALAGOAS,UNIÃO,DEPUTADO FEDERAL,ADMINISTRADOR,2600,1
x,JOSE DE BARROS NETO,NETO BARROS,ES,ESPÍRITO SANTO,PC do B,DEPUTADO ESTADUAL,ADVOGADO,2600,1
x,LUCAS DE PAULA ALMEIDA,PADRE LUCAS,MG,MINAS GERAIS,UNIÃO,DEPUTADO FEDERAL,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA,2500,2
x,MARIA DAS GRACAS CARVALHO DE SOUZA MAGALHAES,DRA. GRAÇA,MA,MARANHÃO,CIDADANIA,DEPUTADO FEDERAL,MAGISTRADO,2500,1
x,MAURO JORGE PERUCHI,MAURO PERUCHI,ES,ESPÍRITO SANTO,REDE,DEPUTADO ESTADUAL,MÉDICO,2480,1
x,CARLOS ANDRADE SAMPAIO JUNIOR,CARLINHOS DO LM,BA,BAHIA,PP,DEPUTADO ESTADUAL,ENGENHEIRO,"2437,2",1
x,ALBERTO MASCHIO,BRIZOLA,RO,RONDÔNIA,PSDB,DEPUTADO ESTADUAL,OUTROS,2400,1
x,EDUARDO CESAR BEZERRA DIOGENES,DUDU DIÓGENES,CE,CEARÁ,PL,DEPUTADO ESTADUAL,EMPRESÁRIO,2050,2
x,EVANGELA VIEIRA GALDINO VILELA DANTAS,EVÂNGELA VIEIRA,PE,PERNAMBUCO,SOLIDARIEDADE,DEPUTADO ESTADUAL,ASSISTENTE SOCIAL,2000,1
x,JIOMAR FERNANDO ALMEIDA MENDES,CHINA,BA,BAHIA,PSB,DEPUTADO FEDERAL,COMERCIANTE,2000,1
x,MARCELO AUGUSTO DA EIRA CORREA,MARCELO SERAFIM,AM,AMAZONAS,AVANTE,DEPUTADO FEDERAL,VEREADOR,2000,1
x,ROSILDA DE FREITAS,ROSE DE FREITAS,ES,ESPÍRITO SANTO,MDB,SENADOR,SENADOR,2000,2
x,FRANCISCO CARLOS OLIVEIRA DE LIMA,CHICARLOS,AC,ACRE,PROS,DEPUTADO ESTADUAL,OUTROS,2000,1
x,JOSE MILTON DOS SANTOS,ALEMÃO DO SUCATÃO,MG,MINAS GERAIS,MDB,DEPUTADO ESTADUAL,COMERCIANTE,2000,1
x,JOSE HELIO DE CARVALHO OLIVEIRA,DR HÉLIO,PI,PIAUÍ,MDB,DEPUTADO ESTADUAL,DEPUTADO,2000,1
x,CLEBER DOS SANTOS TEIXEIRA,JACARÉ DE TANGA,SP,SÃO PAULO,PROS,DEPUTADO FEDERAL,ADVOGADO,2000,1
x,VALDELINO RODRIGUES BARCELOS,VALDELINO BARCELOS,DF,DISTRITO FEDERAL,PP,DEPUTADO DISTRITAL,DEPUTADO,2000,1
x,CLAUDINA JASKE FELBERG,DINA DA MADERON,RO,RONDÔNIA,PP,DEPUTADO FEDERAL,OUTROS,1800,1
x,CRELIA APARECIDA RIBEIRO,CLÉLIA,SC,SANTA CATARINA,DC,DEPUTADO ESTADUAL,APOSENTADO (EXCETO SERVIDOR PÚBLICO),1500,1
x,LUIZ ANTONIO DA SILVA,LUIZ ANTÔNIO DA SILVA,MG,MINAS GERAIS,PSOL,DEPUTADO FEDERAL,MOTORISTA PARTICULAR,1500,1
x,INACIO CAVALCANTE MELO NETO,INÁCIO MELO,MA,MARANHÃO,PSDB,DEPUTADO ESTADUAL,ADMINISTRADOR,1500,1
x,RONALDO ANTONIO MOREIRA,RONALDO MOREIRA,MG,MINAS GERAIS,UNIÃO,DEPUTADO ESTADUAL,EMPRESÁRIO,1500,1
x,CARLOS ROBERTO DE ALMEIRA,TATIN DA REALEZA,RO,RONDÔNIA,PP,DEPUTADO FEDERAL,OUTROS,1500,1
x,LINEU OLIMPIO DE SOUZA,LINEU OLIMPIO,GO,GOIÁS,MDB,DEPUTADO ESTADUAL,EMPRESÁRIO,1500,1
x,JAILSON ALVES NASCIMENTO,JAILSON NASCIMENTO,BA,BAHIA,SOLIDARIEDADE,DEPUTADO ESTADUAL,OUTROS,1500,1
x,FRANCISCO MENDES BRAGA,GALEGO,TO,TOCANTINS,PTB,DEPUTADO FEDERAL,EMPRESÁRIO,1500,1
